Symbol;Year;stockPrice;Sector;numberOfShares;cashAndCashEquivalents;shortTermInvestments;netReceivables;inventory;otherCurrentAssets;propertyPlantEquipmentNet;goodwill;intangibleAssets;longTermInvestments;otherNonCurrentAssets;accountPayables;shortTermDebt;longTermDebt;deferredRevenueNonCurrent;taxPayables;deferredRevenue;otherCurrentLiabilities;deferredTaxLiabilitiesNonCurrent;otherLiabilities;capitalLeaseObligations;preferredStock;commonStock;accumulatedOtherComprehensiveIncomeLoss;othertotalStockholdersEquity;revenue;costOfRevenue;researchAndDevelopmentExpenses;generalAndAdministrativeExpenses;sellingAndMarketingExpenses;sellingGeneralAndAdministrativeExpenses;operatingExpenses;costAndExpenses;interestIncome;depreciationAndAmortization;operatingIncome;operatingIncomeRatio;ebitdaratio;incomeBeforeTaxRatio;netIncomeRatio;epsdiluted;Column1
ACN;2016;115;3;624797820;4905609000;2875000;6222399000;0;845339000;956542000;3609437000;510151000;198633000;1280707000;1280821000;2773000;24457000;754812000;721322000;2364728000;4509280000;111020000;0;0;0;72000;-1661720000;1336950000;34797661000;24520234000;0;1886543000;3580439000;5466982000;5466982000;29987216000;30484000;16258000;729052000;4810445000;0,13824047;0,175620166;0,161033007;0,118165758;6,45
ACN;2015;94,269997;3;626799586;4360766000;2448000;5725424000;0;1490756000;801884000;2929833000;464907000;45027000;1170994000;1151464000;1848000;25587000;524455000;836177000;2251617000;4291093000;113590000;0;0;0;76000;-1411972000;-5924387000;32914424000;23105185000;0;1868325000;3505045000;5373370000;5373370000;28478555000;33991000;14578000;645923000;4435869000;0,134769759;0,147376816;0,133999914;0,092773339;4,76
ACN;2014;81,059998;3;634216250;4921305000;2602000;5663334000;0;1317201000;793444000;2395894000;397880000;66783000;1219904000;1064228000;330000;26403000;544831000;715704000;2348034000;4029783000;198734000;0;0;0;76000;-871948000;-5154224000;31874678000;22190212000;0;1819136000;3582833000;5401969000;5401969000;27592181000;30370000;17621000;620743000;4300512000;0,134919386;0,147502823;0,134831197;0,092283222;4,52
ACN;2013;72,25;3;645536995;5631885000;2525000;4846574000;0;1363194000;779675000;1818586000;0;43631000;1362412000;961851000;0;25600000;517397000;575248000;2230615000;4393276000;174818000;0;0;0;75000;-1052746000;-4056987000;30394285000;21010110000;0;1835646000;3481891000;5317537000;5317537000;26327647000;32893000;14035000;593028000;4338680000;0,142746572;0,153769566;0,142766773;0,107976812;4,93
ACN;2012;61,599998;3;643132601;6640526000;2261000;4480711000;0;1464433000;779494000;1215383000;0;28180000;1245662000;903847000;11000;22000;553764000;571149000;2275052000;4359146000;105544000;0;0;0;74000;-678148000;-3080335000;29777985000;20790284000;0;1810984000;3303478000;5114462000;5114462000;25904746000;42550000;15061000;593545000;3871548000;0,130013767;0,142432639;0,131109409;0,085751605;3,84
ATVI;2018;46,57;4;762000000;4225000000;0;1035000000;43000000;803000000;282000000;9762000000;800000000;0;482000000;253000000;0;2671000000;0;0;1493000000;896000000;18000000;0;0;0;0;-601000000;5400000000;7500000000;2517000000;1101000000;832000000;1062000000;1894000000;2995000000;5512000000;0;0;998000000;1988000000;0,265066667;0,383333333;0,250266667;0,241733333;2,35
ATVI;2017;63,32;4;754000000;4713000000;0;918000000;46000000;843000000;294000000;9763000000;1192000000;0;440000000;323000000;0;4390000000;0;0;1929000000;1411000000;21000000;0;0;0;0;-638000000;5184000000;7017000000;2501000000;1069000000;760000000;1378000000;2138000000;3207000000;5708000000;0;0;1199000000;1309000000;0,186546957;0,334900955;0,164030212;0,038905515;0,36
ATVI;2016;36,11;4;740000000;3245000000;0;732000000;49000000;804000000;258000000;9768000000;1912000000;0;401000000;222000000;0;4887000000;0;0;1628000000;806000000;44000000;0;0;0;0;-629000000;4879000000;6608000000;2394000000;958000000;634000000;1210000000;1844000000;2802000000;5196000000;0;0;1150000000;1412000000;0,213680387;0,341404358;0,167372881;0,146186441;1,28
ATVI;2015;38,71;4;728000000;1823000000;8000000;679000000;128000000;749000000;189000000;7095000000;562000000;9000000;3734000000;284000000;0;4079000000;0;0;1702000000;625000000;10000000;0;0;0;0;-633000000;4605000000;4664000000;1585000000;646000000;380000000;734000000;1114000000;1760000000;3345000000;0;0;494000000;1319000000;0,28280446;0,346269297;0,24035163;0,191252144;1,21
ATVI;2014;20,15;4;716000000;4848000000;10000000;659000000;123000000;1279000000;157000000;7086000000;500000000;9000000;85000000;325000000;0;4324000000;0;0;1797000000;592000000;114000000;0;0;0;0;-303000000;4162000000;4408000000;1525000000;571000000;417000000;712000000;1129000000;1700000000;3225000000;4000000;208000000;346000000;1183000000;0,268375681;0,34823049;0,222549909;0,189428312;1,15
